full_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,now_cost
Andreas Pereira,1,3,60,1478,16,432.1,245.6,343,102.3,6,47
Andrew Robertson,2,12,181,3111,31,980.2,845.8,389,221.7,13,70
Andr� Filipe Tavares Gomes,0,1,39,1457,20,179.4,156.6,33,36.4,5,52
Andriy Yarmolenko,5,1,70,981,17,265.7,284.4,329,87.9,3,52
Andros Townsend,1,1,48,1284,23,247.1,246.4,122,61.6,3,56
Andy Carroll,0,4,34,617,10,162,136.6,211,51.1,2,54
Angelo Ogbonna,2,0,81,2786,44,37.8,579,168,78.4,7,45
Angus Gunn,0,0,29,900,25,0,219.4,0,22.1,2,42
Anthony Gordon,0,1,17,436,6,98.4,76,44,21.8,0,45
Anthony Martial,17,9,200,2625,27,439.3,855.6,1297,259.4,14,85
Antonio R�diger,2,0,63,1710,24,93.3,389.4,194,67.7,5,59
Anwar El Ghazi,4,5,93,2046,48,482.2,383.2,655,152,5,52
Arnaut Danjuma Groeneveld,0,1,24,625,12,82.6,60.6,139,27.9,2,58
Arthur Masuaku,0,1,26,930,18,128.6,240.8,53,42.4,2,41
Ashley Barnes,6,0,61,1350,21,85.1,226.2,474,75.9,8,61
Ashley Westwood,2,7,118,3150,39,814.2,596.8,135,154.7,15,55
Ashley Young,0,0,24,953,10,316.6,155.6,18,49.1,2,54
Aymeric Laporte,1,0,63,1096,5,62.2,246.8,79,38.7,8,63
Ayoze P�rez,8,5,129,1998,25,443.9,547.4,779,177.3,9,60
Bamidele Alli,8,6,117,1845,25,328.6,531.2,627,148.9,4,83
Ben Davies,0,0,41,1430,19,172.4,279.8,94,54.4,4,53
Ben Foster,0,0,137,3420,64,10.1,904.6,17,93.5,9,49
Ben Godfrey,0,0,38,2644,62,57,602.8,119,78.3,3,44
Ben Mee,1,2,110,2880,45,105.8,658.8,362,112.9,13,49
Ben Osborn,0,0,19,590,4,108.5,78.4,65,25.3,2,47
Benjamin Chilwell,3,3,114,2374,26,545.4,546,208,130,9,54
Benjamin Mendy,0,2,74,1491,13,403.2,243,106,75.5,9,55
Bernard An�cio Caldeira Duarte,3,2,72,1269,12,349.1,315,236,89.8,9,64
Bernardo Fernandes da Silva Junior,0,0,21,675,17,72.6,154,92,31.9,1,43
Bernardo Mota Veiga de Carvalho e Silva,6,7,116,2021,24,773.2,626.2,927,232.5,9,76
Bernd Leno,0,0,114,2649,39,0,843.2,0,84.1,7,48
Billy Sharp,3,2,57,1037,10,186.2,175.4,348,69.9,4,52
Bjorn Engels,1,0,42,1446,32,31.9,329.6,81,44.5,3,43
Brandon Williams,1,1,51,1003,11,191.2,200,100,49.2,5,38
Bruno Miguel Borges Fernandes,8,8,117,1187,6,479.3,551.8,361,139.2,9,90
Bukayo Saka,1,6,71,1746,18,322.5,327.2,248,89.8,7,47
Callum Hudson-Odoi,1,5,53,849,14,341.4,235.2,325,89.9,2,51
Callum Robinson,1,2,33,669,6,72.8,79.8,156,30.4,2,49
Callum Wilson,8,6,116,2906,53,391.1,397.4,848,162.6,4,74
Calum Chambers,1,1,42,1102,15,113.5,272,203,58.7,3,43
Cenk Tosun,2,0,24,462,6,63.4,89,229,37.7,2,57
