full_name,element_type,now_cost,total_points,minutes,goals_scored,assists,goals_conceded,clean_sheets,influence,creativity,threat,id,player_name,time,xG,xA,shots,key_passes,yellow_cards,npxG,xGChain,xGBuildup
Allan Saint-Maximin,3,65,116,2804,5,7,54,9,575.8,671.5,862,101,Allan Saint-Maximin,2825,5.663676346,5.261043435,64,50,5,5.663676346,14.37779012,3.898579237
Allan Saint-Maximin,3,52,85,1554,3,5,26,7,376,394.2,418,101,Allan Saint-Maximin,1578,2.825913109,4.013324308,30,29,0,2.825913109,10.59472032,4.224002955
Alphonse Areola,1,45,124,3240,0,0,48,9,876.2,0,0,2310,Alphonse Areola,3240,0,0,0,0,2,0,3.555330414,3.555330414
André Filipe Tavares Gomes,3,53,48,1559,0,1,22,5,189,244.5,103,2383,André Gomes,1574,0.4271287,1.054450875,14,15,3,0.4271287,5.508419405,4.376286745
André Tavares Gomes,3,45,18,614,0,1,19,0,84,85.2,136,2383,André Gomes,621,0.989969273,0.156436182,14,4,3,0.989969273,1.519893186,0.498183101
André-Frank Zambo Anguissa,3,44,76,2581,0,3,40,6,507.6,409.4,312,6434,Franck Zambo,2582,1.438546485,2.301115034,34,28,6,1.438546485,8.766743933,6.624086673
Andreas Christensen,2,47,61,1371,0,0,17,8,293.4,80.9,34,200,Andreas Christensen,1375,0.129408272,0.250104571,3,6,2,0.129408272,7.44171058,7.276742447
Andrew Robertson,2,70,186,2537,3,11,20,17,708.2,900.7,372,1688,Andrew Robertson,2550,2.271189099,6.197533656,19,55,5,2.271189099,18.61965583,14.27739758
Andrew Robertson,2,73,161,3384,1,8,42,12,754.4,1129.3,359,1688,Andrew Robertson,3391,1.437933657,7.220491709,19,65,2,1.437933657,19.86948182,15.43500882
Andriy Yarmolenko,3,55,17,362,0,1,7,1,50.6,80.3,106,6274,Andriy Yarmolenko,343,0.31000777,0.781444121,7,5,3,0.31000777,1.453730691,0.931392327
Andros Townsend,3,55,94,2250,1,5,37,7,511.4,694.6,311,775,Andros Townsend,2255,2.471998122,4.146493591,36,40,0,2.471998122,7.262479238,3.630241647
Andros Townsend,3,55,66,1452,3,2,30,3,351.6,468.9,221,775,Andros Townsend,1463,2.262586422,2.849117287,21,31,3,1.501417592,5.317552261,2.756821012
Andy Carroll,4,51,30,380,1,1,8,1,64,37.1,187,537,Andy Carroll,369,0.603316849,0.063019833,13,2,1,0.603316849,0.989014842,0.542128044
Angelo Ogbonna,2,47,100,2492,3,0,34,9,489.8,56.4,244,528,Angelo Ogbonna,2493,1.696073647,0.428470748,13,4,5,1.696073647,4.007843699,3.785348754
Angelo Ogbonna,2,45,40,921,1,0,11,3,167,5.3,67,528,Angelo Ogbonna,921,0.611719966,0,3,0,1,0.611719966,1.006217549,0.955207953
Anthony Elanga,3,50,59,1208,2,3,17,4,206.2,172.1,303,9524,Anthony Elanga,1218,2.981154365,1.933543816,21,9,0,2.981154365,5.969545908,2.201744555
Anthony Gordon,3,55,100,2277,4,3,40,7,460.4,523,632,8150,Anthony Gordon,2288,3.460314019,3.776888372,44,36,4,3.460314019,7.969531951,3.010283067
Anthony Martial,4,86,75,1477,4,7,23,4,297.6,265.4,709,553,Anthony Martial,1494,7.405651165,2.61980296,42,17,0,7.405651165,11.81481302,3.31950533
Antonee Robinson,2,44,57,2159,0,0,28,5,451.4,475.8,178,8940,Antonee Robinson,2158,0.467749074,2.032745026,10,29,4,0.467749074,7.802951233,6.396044224
Antonio Rüdiger,2,47,93,1710,1,0,10,11,368.6,83.8,201,1822,Antonio Rüdiger,1710,1.139936452,0.305807361,14,4,0,1.139936452,9.13765046,9.044836283
Anwar El Ghazi,3,52,111,1604,10,0,22,5,500.4,426.1,726,5612,Anwar El Ghazi,1612,9.037517841,1.882865613,64,26,2,5.992842442,7.845562791,2.691346372
Anwar El Ghazi,3,50,22,392,1,1,8,1,74.6,85.2,85,5612,Anwar El Ghazi,380,0.979022183,0.262508623,8,5,2,0.217853311,0.609694505,0.309745392
Armando Broja,4,55,92,1969,6,2,37,5,280.2,159.2,720,8384,Armando Broja,1986,5.89373021,1.460656822,45,10,2,5.89373021,8.278901407,2.013873902
Arthur Masuaku,2,43,42,1006,0,2,15,4,187.4,200.5,62,1760,Arthur Masuaku,1017,0.429025686,2.595891861,6,11,2,0.429025686,4.273891274,1.791139981
Arthur Masuaku,2,45,29,645,1,1,12,1,178.2,57.2,39,1760,Arthur Masuaku,626,0.066956274,0.758433843,4,2,1,0.066956274,1.482322574,1.453508319
Ashley Barnes,4,60,52,1324,3,0,19,6,153.8,243.6,548,4422,Ashley Barnes,1342,3.874066237,0.800547515,38,19,4,3.11289737,4.190315293,1.198629176
Ashley Westwood,3,53,112,3410,3,4,55,11,559.2,843.2,156,669,Ashley Westwood,3412,1.005990317,6.534150273,19,52,7,1.005990317,10.02816173,6.304798097
Axel Tuanzebe,2,41,7,402,0,0,8,0,95,6,0,934,Axel Tuanzebe,401,0,0,0,0,2,0,1.078361839,1.078361839
Aymeric Laporte,2,60,160,2830,4,2,24,18,660,201,348,2498,Aymeric Laporte,2848,4.454538737,0.611626728,35,9,5,4.454538737,18.63745562,18.22057494
Aymeric Laporte,2,60,58,1343,0,0,10,7,233.4,78,85,2498,Aymeric Laporte,1335,0.842339948,0.577895381,6,5,1,0.842339948,6.243810184,6.243810184
Ayoze Pérez,3,60,58,1322,2,1,21,5,255.6,323.6,482,770,Ayoze Pérez,1326,4.036575317,1.248606492,31,23,2,4.036575317,9.872759374,6.759955797
Ayoze Pérez,3,50,35,438,2,3,15,1,172.4,139.7,180,770,Ayoze Pérez,443,2.057984743,1.227769405,11,11,0,2.057984743,2.990566075,0.637315106
Bailey Peacock-Farrell,1,40,3,360,0,0,14,0,82.6,0,0,8482,Bailey Peacock-Farrell,360,0,0,0,0,0,0,0.007730924,0.007730924
Bamidele Alli,3,74,30,613,0,2,9,3,103.4,132.1,165,645,Dele Alli,615,1.674591329,1.326244472,12,9,0,1.674591329,4.322703792,2.134588031
Ben Chilwell,2,60,55,541,3,1,2,4,175.8,161.1,202,782,Ben Chilwell,541,1.298326053,0.833014956,13,10,0,1.298326053,4.463371404,3.408198148
Ben Davies,2,50,105,2537,1,2,30,12,501.4,203.5,254,660,Ben Davies,2542,2.476110392,0.646208635,18,11,6,2.476110392,13.49344429,12.48537182
Ben Davies,2,45,52,1340,0,2,16,4,232.8,136.8,65,660,Ben Davies,1330,0.197693076,0.437375445,3,8,1,0.197693076,2.684573537,2.331053892
Ben Godfrey,2,51,100,2683,0,2,35,11,610.4,84.3,152,7689,Ben Godfrey,2682,0.793114735,0.97848325,14,4,4,0.793114735,5.550382631,4.866148515
Ben Godfrey,2,45,45,2029,0,0,39,4,416,164.6,222,7689,Ben Godfrey,2034,1.301261271,0.706995015,18,12,6,1.301261271,2.775719794,2.278057685
