,Unnamed: 0,full_name,code,team,element_type,now_cost,total_points,points_per_game,minutes,goals_scored,assists,goals_conceded,clean_sheets,influence,creativity,threat,Unnamed: 16,id,player_name,time,xG,xA,shots,key_passes,yellow_cards,npxG,xGChain,xGBuildup,xP
159,313,Marc Roca JunquÃ©,234370,11,3,50,4,2.0,160,0,0,3,0,27.8,24.1,17,150,5086,Marc Roca,165,0.025666622,0.078626161,1,2,0,0.025666622,0.104292784,0.0,15.631578947368421
160,389,Marcus Rashford,176297,14,3,64,3,1.5,180,0,0,6,0,21.2,40.6,65,62,556,Marcus Rashford,180,0.489697248,0.152089348,5,3,1,0.489697248,0.846424431,0.223307312,15.631578947368421
161,80,Marcus Tavernier,201658,3,3,50,5,2.5,164,0,0,4,1,14.6,43.5,2,316,10741,Marcus Tavernier,173,0.0,0.327278316,0,3,0,0.0,0.312328905,0.0,15.631578947368421
164,5,Martin Ã˜degaard,184029,1,3,65,5,2.5,180,0,0,2,1,11.0,23.6,35,135,2517,Martin Odegaard,180,0.156684652,0.070892759,3,1,0,0.156684652,1.032458186,0.851584591,15.631578947368421
166,160,Mason Mount,184341,6,3,80,5,2.5,154,0,0,2,1,32.8,27.4,37,244,7768,Mason Mount,164,0.262234569,0.101747423,4,1,0,0.262234569,0.595909476,0.259777866,15.631578947368421
167,94,Mathias Jensen,207283,4,3,50,15,7.5,131,1,1,2,1,59.4,32.7,22,32,7166,Mathias Jensen,138,0.245567337,0.074068828,2,2,0,0.245567337,0.517992698,0.384706073,15.631578947368421
172,429,Miguel AlmirÃ³n Rejala,179018,15,3,50,6,3.0,170,0,0,0,2,29.8,33.0,45,229,7420,Miguel AlmirÃ³n,173,0.105534993,0.265885592,2,2,0,0.105534993,0.393508293,0.172345638,15.631578947368421
173,480,Mohamed Elyounoussi,96787,17,3,54,2,2.0,60,0,0,2,0,0.0,3.8,8,211,6894,Mohamed Elyounoussi,65,0.050547522,0.0,2,0,0,0.050547522,0.140403822,0.089856304,15.631578947368421
174,330,Mohamed Salah,118748,12,3,130,14,7.0,180,1,1,3,0,58.2,109.7,63,20,1250,Mohamed Salah,180,0.928316861,0.985885829,5,9,0,0.928316861,2.092262387,0.775861092,15.631578947368421
176,131,MoisÃ©s Caicedo Corozo,486672,5,3,50,5,2.5,180,0,0,1,1,41.0,50.6,11,283,9453,MoisÃ©s Caicedo,180,0.014622961,0.118831951,1,4,0,0.014622961,1.463100612,1.406779408,15.631578947368421
177,577,Morgan Gibbs-White,222531,20,3,55,4,2.0,180,0,0,2,1,16.0,26.5,24,207,6857,Morgan Gibbs-White,180,0.584597766,0.088168114,3,1,1,0.584597766,0.545121595,0.0,15.631578947368421
178,492,Moussa Djenepo,431131,17,3,50,7,3.5,161,0,1,6,0,40.4,41.9,12,239,7701,Moussa Djenepo,164,0.085412897,0.081150342,1,3,0,0.085412897,0.783839092,0.719150364,15.631578947368421
186,237,Neeskens Kebano,92259,9,3,55,5,2.5,147,0,0,1,1,10.6,14.5,31,250,8204,Neco Williams,180,0.70833426,0.56736555,5,3,1,0.70833426,0.95731236,0.127221376,15.631578947368421
187,152,N'Golo KantÃ©,116594,6,3,50,5,2.5,174,0,0,1,1,36.4,48.7,23,202,6840,Neeskens Kebano,153,0.111113213,0.078902163,3,1,0,0.111113213,0.327638261,0.159061603,15.631578947368421
192,468,Orel Mangala,179519,16,3,50,4,2.0,98,0,0,1,1,4.2,4.6,8,181,6088,Orel Mangala,100,0.027695516,0.0,1,0,0,0.027695516,0.188388541,0.188388541,15.631578947368421
