full_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,now_cost,element_type
Diogo Jota,9,0,86,1106,15,188.3,387.4,680.0,125.7,4,69,3
Dominic Calvert-Lewin,16,6,165,2871,39,308.0,745.8,1439.0,249.0,11,75,4
Donny van de Beek,1,2,32,511,12,58.4,117.0,70.0,24.5,0,66,3
Douglas Luiz Soares de Paulo,0,2,72,2781,41,304.5,403.4,189.0,90.0,12,48,3
Dwight Gayle,1,1,31,501,9,89.4,79.6,263.0,42.4,0,59,4
Dwight McNeil,2,5,113,3068,50,790.3,591.8,277.0,166.3,11,57,3
Eberechi Eze,4,8,125,2555,51,653.1,516.2,383.0,155.4,6,58,3
Ederson Santana de Moraes,0,1,160,3240,28,10.0,586.0,0.0,59.6,19,61,1
Edinson Cavani,10,4,99,1364,18,203.3,443.4,513.0,115.0,4,80,4
Edouard Mendy,0,0,140,2745,25,0.0,470.2,0.0,47.2,16,53,1
Edward Nketiah,2,1,36,411,6,97.3,116.6,211.0,42.1,1,53,4
Emil Krafth,1,1,45,1286,27,87.7,240.4,88.0,41.6,5,42,2
Emile Smith Rowe,2,5,74,1438,10,385.1,273.2,222.0,88.1,9,42,3
Emiliano Martínez,0,0,186,3420,46,20.0,1067.2,0.0,108.5,15,53,1
Enda Stevens,0,1,56,2700,54,294.5,443.4,198.0,93.6,4,50,2
Eric Bailly,0,0,31,915,17,8.3,175.6,26.0,21.1,3,48,2
Eric Dier,0,0,77,2520,34,82.2,577.0,114.0,77.4,8,46,2
Eric Garcia,0,0,6,380,12,26.4,67.6,5.0,9.8,0,47,2
Erik Lamela,1,1,28,700,17,137.1,115.2,236.0,48.4,1,57,3
Erik Pieters,0,3,50,1260,19,77.0,199.4,63.0,34.0,3,43,2
Ethan Ampadu,0,0,44,2087,41,189.6,458.0,51.0,70.1,2,43,2
Ezgjan Alioski,2,3,110,2456,35,423.0,477.8,281.0,118.5,10,44,2
Ezri Konsa Ngoyo,2,0,119,3195,46,34.2,695.6,276.0,101.0,12,46,2
Fabian Schär,1,0,30,1255,21,9.0,251.0,116.0,37.6,2,48,2
Fabio Henrique Tavares,0,2,71,2566,29,106.8,460.4,75.0,64.6,11,54,3
Fabio Silva,4,3,72,1352,29,166.1,238.2,758.0,114.9,0,52,4
Fabián Balbuena,1,0,39,1197,19,9.0,260.8,79.0,35.0,4,41,2
Federico Fernández,0,0,53,2080,38,91.3,522.0,64.0,67.5,5,47,2
Fernando Luiz Rosa,0,2,65,1182,10,220.8,248.6,106.0,57.6,7,54,2
Fernando Marçal,0,0,19,618,9,61.7,102.6,13.0,17.9,1,47,2
Ferran Torres,7,4,95,1297,13,276.4,352.2,543.0,117.0,7,70,3
Filip Krovinovic,0,0,17,541,11,103.6,74.4,50.0,22.8,1,49,3
Fraser Forster,0,0,30,720,11,0.0,191.0,0.0,19.1,2,40,1
Frederico Rodrigues de Paula Santos,1,0,69,2389,25,395.6,482.6,200.0,108.0,12,53,3
Gabriel Fernando de Jesus,9,5,115,2056,17,467.5,501.0,931.0,190.0,11,91,4
Gabriel Magalhães,2,0,78,1996,24,51.0,464.8,233.0,74.9,6,49,2
Gabriel Teodoro Martinelli Silva,2,1,36,582,3,133.8,142.6,300.0,57.5,4,49,3
Gareth Bale,11,3,113,912,12,306.5,550.8,507.0,136.4,5,92,3
Gary Cahill,1,1,53,1800,39,90.1,406.2,157.0,65.7,4,45,2
George Baldock,0,2,63,2787,51,310.7,351.4,234.0,89.7,4,49,2
Georginio Wijnaldum,2,1,97,2938,39,387.0,358.2,307.0,105.1,10,53,3
Giovani Lo Celso,1,1,35,939,10,222.8,169.2,155.0,54.3,5,69,3
Grady Diangana,1,0,39,1230,33,102.3,169.4,162.0,43.4,1,50,3
Granit Xhaka,1,2,70,2519,27,327.6,456.0,154.0,94.0,10,52,3
Gylfi Sigurdsson,6,5,122,2244,29,644.2,530.6,510.0,168.8,10,68,3
Hakim Ziyech,2,3,70,1164,7,485.6,274.8,369.0,112.8,10,79,3
Hal Robson-Kanu,2,0,30,544,12,66.7,101.4,149.0,31.5,0,52,4
Hamza Choudhury,0,0,14,311,2,13.5,34.0,29.0,7.6,2,46,3
Harrison Reed,0,3,69,2243,35,330.4,421.2,82.0,83.5,9,44,3
Harry Kane,23,14,242,3083,39,659.1,1318.2,1585.0,355.9,12,119,4
Harry Maguire,2,2,124,3047,36,133.6,701.4,428.0,126.3,13,55,2
Harry Winks,0,0,19,856,16,77.6,128.2,24.0,22.8,1,51,3
Harvey Barnes,9,5,126,1944,25,359.0,556.4,810.0,172.7,7,66,3
Heung-Min Son,17,11,228,3119,36,1049.9,1052.2,1046.0,315.2,13,96,3
Hugo Lloris,0,0,149,3420,45,0.0,868.0,0.0,86.7,12,56,1
Héctor Bellerín,1,3,94,2089,24,351.8,362.8,232.0,94.7,7,50,2
Hélder Wander Sousa de Azevedo e Costa,3,4,63,1150,23,134.3,224.2,289.0,64.7,3,50,3
Ian Carlo Poveda-Ocampo,0,0,14,344,5,71.5,55.0,91.0,21.8,0,42,3
Ibrahima Diallo,0,0,31,1010,22,143.2,120.4,66.0,32.9,3,45,3
Ilkay Gündogan,13,4,157,2025,16,688.4,754.6,712.0,215.7,12,55,3
Illan Meslier,0,0,154,3150,52,10.0,1026.0,0.0,103.7,11,48,1
Isaac Hayden,0,0,40,1942,33,117.7,278.0,155.0,55.3,4,46,3
Issa Diop,2,0,42,1379,22,17.4,375.6,48.0,44.3,2,43,2
Ivan Ricardo Neves Abreu Cavaleiro,3,0,85,2465,43,647.2,347.0,530.0,152.5,7,53,3
Jack Cork,0,0,33,1350,24,126.2,140.0,82.0,34.9,4,50,3
Jack Grealish,6,12,135,2183,28,1029.6,707.4,917.0,265.3,12,75,3
Jack Harrison,8,10,160,2846,45,821.7,759.2,666.0,225.2,11,56,3
Jack Robinson,0,2,32,875,11,27.7,148.2,46.0,22.2,2,42,2
Jack Stephens,0,0,41,1537,39,85.6,351.0,104.0,54.2,4,46,2
Jacob Murphy,2,3,69,1617,33,280.8,363.4,289.0,93.2,3,49,3
Jacob Ramsey,0,0,28,611,10,91.7,72.8,126.0,28.9,2,45,3
Jairo Riedewald,2,0,64,1810,39,160.4,274.0,88.0,52.4,4,44,3
Jake Livermore,0,0,25,1241,35,72.7,136.8,53.0,25.9,1,47,3
Jakub Moder,0,0,21,643,10,62.2,63.8,162.0,28.8,2,50,3
Jamaal Lascelles,2,0,44,1625,32,38.1,345.2,161.0,54.7,2,42,2
Jamal Lewis,0,1,44,1833,37,224.8,272.6,47.0,54.2,3,40,2
James Justin,2,2,101,2070,25,290.7,472.2,195.0,96.0,9,48,2
James Maddison,8,7,133,2093,28,770.3,588.4,668.0,202.5,10,72,3
James McArthur,0,2,45,1465,26,202.2,285.2,65.0,55.2,4,52,3
James McCarthy,0,0,26,816,15,87.2,112.2,10.0,20.9,2,43,3
James Milner,0,2,44,1056,10,242.0,200.0,108.0,55.2,4,53,3
James Rodríguez,6,5,101,1763,27,585.6,499.2,399.0,148.7,5,77,3
James Tarkowski,1,0,109,3240,50,148.0,773.4,350.0,127.7,11,53,2
James Tomkins,0,0,18,551,12,11.4,101.2,29.0,14.1,2,44,2
James Ward-Prowse,8,7,156,3420,68,971.2,940.0,355.0,226.5,9,59,3
Jamie Shackleton,0,0,17,454,11,45.7,52.0,18.0,11.4,1,48,3
Jamie Vardy,15,14,187,2838,44,356.6,819.2,1306.0,248.3,8,102,4
Jan Bednarek,1,1,94,3100,62,75.0,692.0,164.0,93.1,9,47,2
Jannik Vestergaard,3,1,86,2574,47,102.1,671.8,294.0,106.7,6,47,2
Japhet Tanganga,0,0,14,487,8,29.5,68.8,40.0,13.8,2,49,2
Jarrod Bowen,8,6,141,2556,33,493.5,529.8,812.0,183.7,9,58,3
Javier Manquillo,0,0,28,822,15,93.5,109.8,18.0,22.2,3,42,2
Jay Rodriguez,1,3,54,1248,25,97.4,149.8,449.0,68.9,4,57,4
Jayden Bogle,2,0,39,1107,20,72.7,217.6,278.0,57.0,2,43,2
Jeff Hendrick,2,1,52,1418,24,99.0,211.4,95.0,40.3,3,45,3
Jeffrey Schlupp,2,3,65,1415,26,242.1,336.6,304.0,88.2,5,53,3
Jesse Lingard,9,5,106,1423,19,288.2,487.0,530.0,130.4,4,66,3
Joachim Andersen,1,1,93,2729,36,109.3,582.8,151.0,84.5,9,45,2
Joe Bryan,1,1,27,663,17,100.4,143.2,85.0,32.8,0,45,2
Joe Rodon,0,0,27,732,12,3.6,166.2,6.0,17.7,2,49,2
Joel Matip,1,2,42,690,5,42.4,179.0,84.0,30.6,3,54,2
Joel Ward,0,1,66,2255,43,118.2,366.8,28.0,51.3,7,43,2
