,full_name,code,team,element_type,now_cost,total_points,points_per_game,minutes,goals_scored,assists,goals_conceded,clean_sheets,influence,creativity,threat
478,Jack Stephens,88900,17,2,45,1,0.5,46,0,0,2,0,14.2,2.5,0
46,Jacob Ramsey,232653,2,3,54,2,1,135,0,0,2,0,23.4,40.8,14
394,Jadon Sancho,209243,14,3,74,3,1.5,148,0,0,6,0,13.2,49.1,22
280,James Justin,220627,10,2,45,4,2,180,0,1,6,0,23,18.2,2
273,James Maddison,172780,10,3,80,12,6,180,1,1,6,0,66.2,80,85
321,James Milner,15157,12,3,45,6,3,93,0,1,2,0,28.2,31,18
224,James Tarkowski,17761,8,2,45,3,1.5,180,0,0,3,0,48.6,34.5,58
481,James Ward-Prowse,101178,17,3,65,11,5.5,180,1,0,6,0,58.8,59.3,25
267,Jamie Vardy,101668,10,4,95,7,3.5,159,0,1,5,0,36,23.3,6
484,Jan Bednarek,171771,17,2,45,1,0.5,159,0,0,6,0,38.4,21.1,8
544,Jarrod Bowen,178186,19,3,85,4,2,174,0,0,3,0,14.2,4,24
189,Jean-Philippe Mateta,231747,7,4,54,1,1,32,0,0,1,0,0,11.2,10
65,Jefferson Lerma Solís,152551,3,3,50,10,5,180,1,0,4,1,49,0.2,17
182,Jeffrey Schlupp,86417,7,3,50,4,2,172,0,0,3,0,29.4,7.1,32
467,Jesse Lingard,109322,16,3,60,8,4,180,0,1,2,1,12.6,40.8,34
359,João Cancelo,121145,13,2,70,18,9,180,0,1,0,2,24.6,40.6,17
253,João Palhinha Gonçalves,154296,9,3,50,4,2,180,0,0,2,1,21,1.9,38
121,Joël Veltman,111478,5,2,45,10,5,180,0,0,1,1,45.6,2.1,18
186,Joachim Andersen,174874,7,2,45,2,1,180,0,0,3,0,78,12.2,13
499,Joe Ayodele-Aribo,193204,17,3,55,9,4.5,119,1,0,4,0,48.6,7.3,77
433,Joe Willock,200089,15,3,50,6,3,154,0,0,0,2,34.2,19.6,80
450,Joe Worrall,208912,16,2,45,7,3.5,180,0,0,2,1,35.4,1.1,0
323,Joel Matip,60914,12,2,60,1,1,90,0,0,2,0,30.4,1.8,0
177,Joel Ward,55494,7,2,45,1,1,90,0,0,1,0,29,0.2,0
431,Joelinton Cássio Apolinário de Lira,180974,15,3,60,8,4,180,0,1,0,2,53.2,60.1,28
36,John McGinn,122806,2,3,55,4,2,180,0,0,3,0,29.8,35.4,26
561,Jonathan Castro Otto,114128,20,2,45,7,3.5,167,0,0,2,1,28.8,8.2,23
261,Jonny Evans,37642,10,2,45,1,0.5,180,0,0,6,0,28.4,1.7,0
180,Jordan Ayew,80146,7,3,55,4,2,152,0,0,3,0,24.8,37.9,24
322,Jordan Henderson,56979,12,3,55,3,1.5,117,0,0,2,0,15.6,46.1,13
207,Jordan Pickford,111234,8,1,45,4,2,180,0,0,3,0,47,0,0
77,Jordan Zemura,447932,3,2,45,6,6,90,0,0,0,1,21.6,10.7,2
148,Jorge Luiz Frello Filho,85955,6,3,60,13,6.5,162,1,0,1,1,50.2,44.7,27
562,José Malheiro de Sá,149065,20,1,50,17,8.5,180,0,0,2,1,72.4,0,0
89,Josh Dasilva,183656,4,3,46,14,7,92,2,0,0,1,73.4,3.2,16
163,Kai Havertz,219847,6,4,79,3,1.5,163,0,0,1,1,11.6,18.2,84
171,Kalidou Koulibaly,86129,6,2,55,13,6.5,164,1,0,2,1,67.4,6.3,39
108,Keane Lewis-Potter,249231,4,3,54,1,1,31,0,0,0,0,5.2,0.2,2
248,Kenny Tete,167074,9,2,45,9,4.5,180,0,1,2,1,46.6,15.8,0
355,Kevin De Bruyne,61366,13,3,121,20,10,177,1,2,0,2,93,121.5,65
63,Kieffer Moore,128340,3,4,55,8,4,179,1,0,4,1,40.2,17.6,21
417,Kieran Trippier,77794,15,2,50,14,7,180,0,0,0,2,40.4,57.3,10
278,Kiernan Dewsbury-Hall,215413,10,3,50,12,6,162,1,0,5,0,43.8,18.6,10
540,Kurt Zouma,103192,19,2,45,3,1.5,180,0,0,3,0,24.8,0.3,18
353,Kyle Walker,58621,13,2,51,12,6,171,0,0,0,2,17.6,25.9,0
483,Kyle Walker-Peters,158534,17,2,45,7,3.5,180,1,0,6,0,68.8,19.6,41
563,Leander Dendoncker,151589,20,3,50,5,2.5,180,0,0,2,1,34.4,18.7,39
123,Leandro Trossard,116216,5,3,65,4,2,148,0,0,1,1,9.8,44.1,51
