,id,player_name,time,xG,xA,shots,key_passes,yellow_cards,npxG,xGChain,xGBuildup
74,646,Christian Eriksen,180,0.546525389,0.13961713,5,3,0,0.546525389,1.172465503,0.496065386
214,7083,Christian Nørgaard,158,0,0.02847209,0,1,0,0,0.593318487,0.593318487
203,6851,Conor Coady,84,0,0,0,0,0,0,0.044412207,0.044412207
217,7218,Cristian Romero,180,0.125088021,0,2,0,0,0.125088021,1.132382005,1.132382005
132,2371,Cristiano Ronaldo,125,0.271831043,0.139890939,7,4,0,0.271831043,0.52886153,0.139813229
227,7382,Dan Burn,180,0.237977903,0.022218166,5,1,0,0.237977903,0.619866908,0.588064015
87,759,Daniel Amartey,157,0.011097821,0.016957469,1,1,0,0.011097821,0.19055137,0.162496075
159,5595,Daniel James,61,0.058661103,0,1,0,0,0.058661103,0.058661103,0
35,8291,Daniel Podence,180,0.521415815,0.168244839,4,4,1,0.521415815,1.136739284,0.513502754
18,986,Danny Ings,150,0.441446558,0.015351142,5,1,2,0.441446558,0.533509552,0.076711841
49,473,Danny Ward,180,0,0,0,0,0,0,0.115016647,0.115016647
55,501,Danny Welbeck,180,0.482833162,0.641282015,6,4,0,0.482833162,1.654519141,0.54653259
38,10720,Darwin Núñez,97,2.495908499,0.491571009,9,2,0,2.495908499,3.024283171,0.036803596
61,546,David de Gea,180,0,0,0,0,0,0,0.182597034,0.182597034
290,9676,David Raya,180,0,0,0,0,0,0,0.01553738,0.01553738
240,7702,Dean Henderson,180,0,0,0,0,1,0,0.127221376,0.127221376
156,5553,Declan Rice,180,0.821588393,0,2,0,1,0.060419556,0.292479347,0.232059792
29,6691,Dejan Kulusevski,178,0.187367797,0.575793684,2,3,0,0.187367797,1.158887744,0.395726234
88,762,Demarai Gray,174,0.187875219,0.062284444,3,2,0,0.187875219,0.241688415,0
166,5712,Diego Carlos,180,0.739179986,0,4,0,0,0.739179986,0.238073906,0.220520142
125,2163,Diego Llorente,180,0.037254728,0,1,0,0,0.037254728,0.472564816,0.472564816
222,7281,Diogo Dalot,180,0.525678895,0.130483683,3,4,0,0.525678895,0.613133103,0.384662285
113,1679,Dominic Solanke,90,0.186297402,0,3,0,0,0.186297402,0.448578537,0.26228115
198,6756,Dwight McNeil,137,0.142889857,0.068438739,2,2,0,0.142889857,0.179204315,0.125391111
263,8706,Eberechi Eze,169,0.383123696,0.433534145,1,1,0,0.383123696,1.314028859,0.497371048
179,6054,Ederson,180,0,0,0,0,0,0,0.949037932,0.949037932
208,6880,Edouard Mendy,180,0,0,0,0,1,0,0.392817944,0.392817944
230,7430,Emerson,174,0.166745752,0.214627668,3,2,0,0.166745752,1.490045547,1.108672142
25,2203,Emiliano Buendía,68,1.086194158,0.179813551,2,4,0,1.086194158,1.217723489,0.131529272
146,4401,Emiliano Martinez,180,0,0,0,0,0,0,0,0
300,9734,Enock Mwepu,35,0,0.130430259,0,2,0,0,0.019997172,0.019997172
14,643,Eric Dier,180,0.043801486,0,2,0,0,0.043801486,0.522657648,0.522657648
5,8260,Erling Haaland,160,2.387539431,0.41682297,7,1,0,1.626370475,2.150000572,0.106807135
242,7726,Ezri Konsa Ngoyo,91,0,0,0,0,0,0,0.060199212,0.060199212
7,76,Fabian Schär,180,0.062356032,0.049559593,2,1,1,0.062356032,0.606013238,0.606013238
141,3420,Fabinho,151,0,0.082369082,0,1,0,0,1.081933504,1.081933504
199,6817,Fred,105,0.018669477,0,1,0,0,0.018669477,0.195028007,0.176358528
163,5613,Gabriel,180,0.057153091,0,1,0,0,0.057153091,0.199537989,0.199537989
3,5543,Gabriel Jesus,172,2.037570447,0.577289581,8,3,0,2.037570447,2.103009135,0.06567842
4,7752,Gabriel Martinelli,180,0.925435506,0.635315686,3,5,0,0.925435506,1.261605352,0.27731609
327,10765,Gavin Bazunu,180,0,0,0,0,0,0,0.278778076,0.278778076
186,6253,Gianluca Scamacca,47,0.030155944,0,1,0,0,0.030155944,0.053988615,0.023832671
165,5682,Gonçalo Guedes,30,0,0,0,0,0,0,0,0
8,204,Granit Xhaka,180,0.616963923,0.136696313,2,3,1,0.616963923,0.860313609,0.127531236
100,910,Harrison Reed,180,0.078902163,0.139771789,1,3,1,0.078902163,0.255680813,0.087104157
15,647,Harry Kane,180,0.972694322,0.863401711,5,5,0,0.972694322,1.34131223,0.260683656
115,1687,Harry Maguire,180,0.079166196,0.018320184,1,1,2,0.079166196,0.511027459,0.511027459
323,10758,Harry Toffolo,180,0,0.176775455,0,2,0,0,0.381545261,0.331991196
231,7546,Harvey Elliott,119,0.186103374,0.347297439,3,3,0,0.186103374,1.789699659,1.256298788
270,8845,Hee-Chan Hwang,147,0.183958024,0.528313577,3,2,0,0.183958024,1.257393181,0.545121595
71,637,Hugo Lloris,180,0,0,0,0,0,0,0.853882134,0.853882134
9,314,Ilkay Gündogan,151,0.591740683,0.236761495,4,5,0,0.591740683,1.121654212,0.506784387
264,8715,Illan Meslier,180,0,0,0,0,0,0,0,0
45,448,Ivan Perisic,30,0,0.545099497,0,2,0,0,0.273117065,0.273117065
19,998,Ivan Toney,180,0.644004365,1.022186697,3,7,0,0.644004365,1.066922486,0.049258433
89,767,Jack Colback,90,0,0,0,0,0,0,0.04274746,0.04274746
78,675,Jack Grealish,130,0.060656518,0.727556661,1,4,0,0.060656518,1.335792214,0.566434149
267,8720,Jack Harrison,178,0,1.200662911,0,11,2,0,1.182376802,0.222569108
245,7823,Jack Stacey,90,0,0,0,0,1,0,0.026748877,0.026748877
119,1735,Jack Stephens,43,0,0,0,0,0,0,0.04521222,0.04521222
275,8941,Jacob Ramsey,139,0.05888588,0.214904577,2,3,1,0.05888588,0.368736565,0.208241113
189,6345,Jadon Sancho,154,0,0.211353678,0,4,0,0,0.504184723,0.292831041
243,7753,James Justin,180,0,0.038089555,0,1,0,0,0.162216105,0.124126554
30,6818,James Maddison,180,0.391410157,0.172102273,8,6,0,0.391410157,0.494050846,0.172602974
53,489,James Milner,95,0.084419683,0.1132439,1,2,0,0.084419683,0.779791005,0.662446804
112,1665,James Tarkowski,180,0.130749129,0.287068054,3,3,0,0.130749129,0.220582664,0.220582664
16,843,James Ward-Prowse,180,0.09206954,0.127807498,3,3,0,0.09206954,0.177567113,0.036186699
85,755,Jamie Vardy,164,0,0.449764127,0,2,0,0,0.466721594,0.016957469
175,6042,Jan Bednarek,164,0.054240495,0.09831202,1,2,0,0.054240495,0.04521222,0.04521222
120,1776,Jarrod Bowen,178,0.184416007,0,2,0,0,0.184416007,0.218839958,0.073530331
167,5735,Jean-Philippe Mateta,31,0.062172938,0.089563519,1,1,0,0.062172938,0.215769529,0.064033084
24,2182,Jefferson Lerma,180,0.101869233,0,1,0,0,0.101869233,0.026748877,0.026748877
86,757,Jeffrey Schlupp,177,0.15599288,0,3,0,0,0.15599288,0.670366943,0.51437407
63,558,Jesse Lingard,180,0.206179231,0.103531135,2,3,0,0.206179231,0.352457836,0.103914637
133,2379,João Cancelo,180,0.042535771,0.154906496,2,2,1,0.042535771,1.218650609,1.105754524
312,10715,João Palhinha,180,0.126523525,0,2,0,1,0.126523525,0.037738822,0.037738822
268,8780,Joël Veltman,180,0.054591209,0,1,0,0,0.054591209,0.067683741,0.067683741
188,6314,Joachim Andersen,180,0.452222377,0.393576205,1,1,1,0.452222377,0.917779118,0.917779118
40,10766,Joe Ayodele-Aribo,115,0.821739744,0,4,0,0,0.821739744,0.856034242,0.034294497
195,6630,Joe Willock,160,0.249127567,0.088041924,5,1,0,0.249127567,0.69470413,0.4155958
321,10756,Joe Worrall,180,0,0,0,0,1,0,0.202201299,0.202201299
44,332,Joel Matip,90,0,0,0,0,0,0,0.133549348,0.133549348
57,510,Joel Ward,90,0,0,0,0,1,0,0.339396745,0.339396745
41,87,Joelinton,180,0.241065308,0.305680711,3,4,1,0.241065308,1.23975917,1.032999247
241,7723,John McGinn,180,0.098007292,0.655832946,5,2,0,0.098007292,1.449604094,1.408444237
128,2280,Jonny,170,0.031403754,0,2,0,0,0.031403754,1.143069506,1.128789514
92,807,Jonny Evans,180,0,0,0,0,0,0,0.20009739,0.20009739
77,672,Jordan Ayew,156,0.064033084,0.109228745,1,3,0,0.064033084,0.173261821,0.064033084
67,605,Jordan Henderson,114,0.039354734,0.573322402,2,3,0,0.039354734,1.380989969,0.790985953
82,741,Jordan Pickford,180,0,0,0,0,0,0,0.134275556,0.134275556
315,10740,Jordan Zemura,90,0,0.086740717,0,1,0,0,0.349021852,0.26228115
22,1389,Jorginho,166,0.809251226,0.192809545,2,3,0,0.048082389,0.830237836,0.589345932
302,9740,José Sá,180,0,0,0,0,0,0,0.017455781,0.017455781
6,10405,Josh Dasilva,96,0.059620695,0,2,0,0,0.059620695,0.059620695,0
151,5220,Kai Havertz,174,0.744145989,0.066325568,5,1,1,0.744145989,0.894338161,0.2095671
21,1376,Kalidou Koulibaly,174,0.180631012,0,4,0,0,0.180631012,0.814627133,0.795312904
333,10809,Keane Lewis-Potter,30,0,0,0,0,0,0,0,0
171,5973,Kenny Tete,180,0,0.087104157,0,1,1,0,0.101326757,0.0142226
11,447,Kevin De Bruyne,180,0.302655317,1.091166705,6,8,0,0.302655317,2.01943922,1.117408127
39,10743,Kieffer Moore,180,0.027238073,0.042054176,1,1,0,0.027238073,0.391076028,0.349021852
75,652,Kieran Trippier,180,0.0519058,0.178833578,1,3,0,0.0519058,0.302805066,0.302805066
36,9739,Kiernan Dewsbury-Hall,164,0.047836149,0.01323621,2,1,0,0.047836149,0.237266146,0.197456323
102,935,Kurt Zouma,180,0.063774392,0,1,0,0,0.063774392,0.032157723,0.032157723
72,638,Kyle Walker,176,0,0.022680599,0,1,0,0,1.239457607,1.216777012
17,885,Kyle Walker-Peters,180,0.30937317,0.089856304,2,1,0,0.30937317,0.492296778,0.093067302
219,7236,Leander Dendoncker,180,0.523670256,0.013587232,3,1,0,0.523670256,1.042176515,0.593087181
236,7698,Leandro Trossard,154,0.185354449,0.1600613,4,2,1,0.185354449,1.071599111,0.753987908
152,5221,Leon Bailey,99,0.076711841,0.439388264,1,2,0,0.076711841,0.62020345,0.104103349
121,1789,Lewis Cook,83,0,0,0,0,0,0,0,0
177,6048,Lewis Dunk,180,0.023503141,0,1,0,0,0.023503141,0,0
324,10759,Lewis O&#039;Brien,167,0.016488699,0,1,0,1,0.016488699,0.336866796,0.320378095
328,10802,Lisandro Martínez,140,0.077251688,0,3,0,1,0.077251688,0.305541098,0.292039782
248,8090,Lloyd Kelly,180,0,0.027238073,0,1,0,0,0.026748877,0.026748877
124,1823,Lucas Digne,180,0.032672182,0.088752203,1,1,1,0.032672182,0.312344462,0.223592252
37,10408,Luis Díaz,170,0.416259602,0.009840791,5,1,1,0.416259602,1.224161744,0.957498223
