full_name,element_type,now_cost,total_points,minutes,goals_scored,assists,goals_conceded,clean_sheets,influence,creativity,threat,id,player_name,time,xG,xA,shots,key_passes,yellow_cards,npxG,xGChain,xGBuildup
Alex Nicolao Telles,2,53,25,689,0,2,11,1,168.6,200.7,33,1828,Alex Telles,696,0.145234646,0.784950957,5,12,0,0.145234646,3.626068473,3.52472055
Alexandre Lacazette,4,84,129,1916,13,3,21,7,602.4,307.4,797,3277,Alexandre Lacazette,1939,12.02890942,2.209213115,45,22,3,9.745402876,14.36154239,2.937940784
Alexis Mac Allister,3,53,48,1108,1,1,14,5,170.6,210.6,235,8379,Alexis Mac Allister,1110,1.353140607,1.870868495,24,15,1,1.353140607,5.655093249,3.266662317
Alireza Jahanbakhsh,3,54,24,520,0,1,9,1,73.2,162.8,221,6842,Alireza Jahanbakhsh,512,1.873219417,3.234296598,18,10,3,1.873219417,5.389569176,2.521948941
Alisson Ramses Becker,1,60,140,2970,1,0,32,10,776.4,0.1,17,1257,Alisson,2970,0.107681759,0,1,0,1,0.107681759,3.559325205,3.559325205
Allan Marques Loureiro,3,52,47,2050,0,0,30,7,366.6,233.3,42,1379,Allan,2051,0.241721148,0.772285229,7,16,6,0.241721148,9.109652698,8.364447726
Allan Saint-Maximin,3,52,85,1554,3,5,26,7,376,394.2,418,101,Allan Saint-Maximin,1578,2.825913109,4.013324308,30,29,0,2.825913109,10.59472032,4.224002955
Alphonse Areola,1,45,124,3240,0,0,48,9,876.2,0,0,2310,Alphonse Areola,3240,0,0,0,0,2,0,3.555330414,3.555330414
Andreas Christensen,2,47,61,1371,0,0,17,8,293.4,80.9,34,200,Andreas Christensen,1375,0.129408272,0.250104571,3,6,2,0.129408272,7.44171058,7.276742447
Andrew Robertson,2,73,161,3384,1,8,42,12,754.4,1129.3,359,1688,Andrew Robertson,3391,1.437933657,7.220491709,19,65,2,1.437933657,19.86948182,15.43500882
Andriy Yarmolenko,3,55,17,362,0,1,7,1,50.6,80.3,106,6274,Andriy Yarmolenko,343,0.31000777,0.781444121,7,5,3,0.31000777,1.453730691,0.931392327
Andros Townsend,3,55,94,2250,1,5,37,7,511.4,694.6,311,775,Andros Townsend,2255,2.471998122,4.146493591,36,40,0,2.471998122,7.262479238,3.630241647
André Filipe Tavares Gomes,3,53,48,1559,0,1,22,5,189,244.5,103,2383,André Gomes,1574,0.4271287,1.054450875,14,15,3,0.4271287,5.508419405,4.376286745
André-Frank Zambo Anguissa,3,44,76,2581,0,3,40,6,507.6,409.4,312,6434,Franck Zambo,2582,1.438546485,2.301115034,34,28,6,1.438546485,8.766743933,6.624086673
Andy Carroll,4,51,30,380,1,1,8,1,64,37.1,187,537,Andy Carroll,369,0.603316849,0.063019833,13,2,1,0.603316849,0.989014842,0.542128044
Angelo Ogbonna,2,47,100,2492,3,0,34,9,489.8,56.4,244,528,Angelo Ogbonna,2493,1.696073647,0.428470748,13,4,5,1.696073647,4.007843699,3.785348754
Anthony Martial,4,86,75,1477,4,7,23,4,297.6,265.4,709,553,Anthony Martial,1494,7.405651165,2.61980296,42,17,0,7.405651165,11.81481302,3.31950533
Antonee Robinson,2,44,57,2159,0,0,28,5,451.4,475.8,178,8940,Antonee Robinson,2158,0.467749074,2.032745026,10,29,4,0.467749074,7.802951233,6.396044224
Antonio Rüdiger,2,47,93,1710,1,0,10,11,368.6,83.8,201,1822,Antonio Rüdiger,1710,1.139936452,0.305807361,14,4,0,1.139936452,9.13765046,9.044836283
Anwar El Ghazi,3,52,111,1604,10,0,22,5,500.4,426.1,726,5612,Anwar El Ghazi,1612,9.037517841,1.882865613,64,26,2,5.992842442,7.845562791,2.691346372
Arthur Masuaku,2,43,42,1006,0,2,15,4,187.4,200.5,62,1760,Arthur Masuaku,1017,0.429025686,2.595891861,6,11,2,0.429025686,4.273891274,1.791139981
Ashley Barnes,4,60,52,1324,3,0,19,6,153.8,243.6,548,4422,Ashley Barnes,1342,3.874066237,0.800547515,38,19,4,3.11289737,4.190315293,1.198629176
Ashley Westwood,3,53,112,3410,3,4,55,11,559.2,843.2,156,669,Ashley Westwood,3412,1.005990317,6.534150273,19,52,7,1.005990317,10.02816173,6.304798097
Axel Tuanzebe,2,41,7,402,0,0,8,0,95,6,0,934,Axel Tuanzebe,401,0,0,0,0,2,0,1.078361839,1.078361839
Aymeric Laporte,2,60,58,1343,0,0,10,7,233.4,78,85,2498,Aymeric Laporte,1335,0.842339948,0.577895381,6,5,1,0.842339948,6.243810184,6.243810184
