full_name,element_type,now_cost,total_points,minutes,goals_scored,assists,goals_conceded,clean_sheets,influence,creativity,threat,id,player_name,time,xG,xA,shots,key_passes,yellow_cards,npxG,xGChain,xGBuildup
Ilkay Gündogan,3,55,157,2025,13,4,16,12,754.6,688.4,712,314,Ilkay Gündogan,2033,9.566883081,3.816219656,54,42,1,8.044545346,19.28681173,10.14837474
Illan Meslier,1,48,154,3150,0,0,52,11,1026,10,0,8715,Illan Meslier,3150,0,0.042197324,0,1,0,0,5.92929398,5.887096663
Isaac Hayden,3,46,40,1942,0,0,33,4,278,117.7,155,6062,Isaac Hayden,1946,0.614846607,0.242496471,16,7,8,0.614846607,4.556474669,4.089182766
Issa Diop,2,43,42,1379,2,0,22,2,375.6,17.4,48,3203,Issa Diop,1379,0.953530967,0.017779581,3,1,3,0.953530967,2.147920772,1.831723474
Ivan Ricardo Neves Abreu Cavaleiro,3,53,85,2465,3,0,43,7,347,647.2,530,3683,Ivan Cavaleiro,2477,5.54866669,2.680473936,47,42,2,4.02632897,8.240886439,2.856730102
Jack Cork,3,50,33,1350,0,0,24,4,140,126.2,82,712,Jack Cork,1355,0.197326748,0.330526792,5,8,2,0.197326748,2.814548006,2.498659182
Jack Grealish,3,75,135,2183,6,12,28,12,707.4,1029.6,917,675,Jack Grealish,2187,5.192683823,9.334136628,50,81,5,5.192683823,17.48746881,6.972043984
Jack Harrison,3,56,160,2846,8,10,45,11,759.2,821.7,666,8720,Jack Harrison,2871,6.254042701,7.523059309,46,59,2,6.254042701,19.39748966,8.035575423
Jack Robinson,2,42,32,875,0,2,11,2,148.2,27.7,46,8286,Jack Robinson,879,0.696397169,0.671254516,6,1,3,0.696397169,1.971000543,1.945660718
Jack Stephens,2,46,41,1537,0,0,39,4,351,85.6,104,1735,Jack Stephens,1544,0.894303333,0.455656361,6,6,2,0.894303333,3.081087852,2.751403073
Jacob Murphy,3,49,69,1617,2,3,33,3,363.4,280.8,289,6063,Jacob Murphy,1611,1.490952687,3.433488872,30,19,3,1.490952687,8.043614191,4.102315794
Jacob Ramsey,3,45,28,611,0,0,10,2,72.8,91.7,126,8941,Jacob Ramsey,593,0.574548911,0.211908303,11,6,0,0.574548911,2.227643296,1.694882825
Jairo Riedewald,3,44,64,1810,2,0,39,4,274,160.4,88,6027,Jairo Riedewald,1803,0.563081227,0.897361388,8,11,4,0.563081227,3.511384854,2.333950503
Jake Livermore,3,47,25,1241,0,0,35,1,136.8,72.7,53,1689,Jake Livermore,1247,0.281537119,0.175723245,5,5,2,0.281537119,2.171407584,1.860429456
Jakub Moder,3,50,21,643,0,0,10,2,63.8,62.2,162,9284,Jakub Moder,643,0.916810747,0.20512417,13,3,0,0.916810747,1.857012313,1.186261192
Jamaal Lascelles,2,42,44,1625,2,0,32,2,345.2,38.1,161,766,Jamaal Lascelles,1633,0.765354833,0.066882778,16,2,4,0.765354833,2.606449857,2.349907726
Jamal Lewis,2,40,44,1833,0,1,37,3,272.6,224.8,47,7691,Jamal Lewis,1824,0.119576626,0.989783524,3,14,4,0.119576626,4.688646201,3.727763444
James Justin,2,48,101,2070,2,2,25,9,472.2,290.7,195,7753,James Justin,2070,1.517483089,2.059136271,9,19,4,1.517483089,7.665663853,5.505036119
James Maddison,3,72,133,2093,8,7,28,10,588.4,770.3,668,6818,James Maddison,2123,3.827569867,5.386723921,75,50,4,3.827569867,11.7434311,6.073130352
James McArthur,3,52,45,1465,0,2,26,4,285.2,202.2,65,633,James McArthur,1482,0.282254315,1.520370733,6,15,3,0.282254315,3.245603632,2.257383136
James McCarthy,3,43,26,816,0,0,15,2,112.2,87.2,10,589,James McCarthy,834,0.012277676,0.289828269,1,5,1,0.012277676,1.198179461,1.028018422
James Milner,3,53,44,1056,0,2,10,4,200,242,108,489,James Milner,1037,0.356573801,0.790559528,12,13,3,0.356573801,5.685045047,4.885257273
James Rodríguez,3,77,101,1763,6,5,27,5,499.2,585.6,399,2249,James Rodríguez,1802,3.363537842,5.439711567,37,40,4,3.363537842,12.03300487,7.104181377
James Tarkowski,2,53,109,3240,1,0,50,11,773.4,148,350,1665,James Tarkowski,3240,3.06087485,0.944150917,23,12,6,3.06087485,3.073719135,2.885652584
James Tomkins,2,44,18,551,0,0,12,2,101.2,11.4,29,530,James Tomkins,553,0.123369649,0.110448495,2,1,1,0.123369649,0.284868991,0.284868991
James Ward-Prowse,3,59,156,3420,8,7,68,9,940,971.2,355,843,James Ward-Prowse,3420,5.442036316,4.070979098,43,60,5,2.397360951,10.63773024,9.401033999
Jamie Shackleton,3,48,17,454,0,0,11,1,52,45.7,18,8721,Jamie Shackleton,446,0,0.120877685,0,2,0,0,2.193708245,2.193708245
Jamie Vardy,4,102,187,2838,15,14,44,8,819.2,356.6,1306,755,Jamie Vardy,2848,19.94294611,5.087881522,82,28,1,13.09242658,18.22790737,2.412587734
Jan Bednarek,2,47,94,3100,1,1,62,9,692,75,164,6042,Jan Bednarek,3111,0.46839267,1.159947371,10,5,5,0.46839267,8.544505371,8.489990605
Jannik Vestergaard,2,47,86,2574,3,1,47,6,671.8,102.1,294,111,Jannik Vestergaard,2571,2.105408294,0.740825264,23,7,3,2.105408294,6.064834667,5.990050286
Japhet Tanganga,2,49,14,487,0,0,8,2,68.8,29.5,40,8222,Japhet Tanganga,496,0.200776685,0.581575692,2,1,2,0.200776685,1.399339896,0.817764204
Jarrod Bowen,3,58,141,2556,8,6,33,9,529.8,493.5,812,1776,Jarrod Bowen,2599,7.988894353,5.229475777,55,29,0,7.988894353,14.17193911,3.096994995
Javier Manquillo,2,42,28,822,0,0,15,3,109.8,93.5,18,1719,Javier Manquillo,823,0.023161858,0.297696754,1,5,1,0.023161858,1.432027978,1.111169352
Jay Rodriguez,4,57,54,1248,1,3,25,4,149.8,97.4,449,844,Jay Rodriguez,1237,2.977033233,1.210919246,31,6,3,2.977033233,4.231583967,0.913431628
Jayden Bogle,2,43,39,1107,2,0,20,2,217.6,72.7,278,9205,Jayden Bogle,1109,1.915019624,0.208553841,17,4,2,1.915019624,2.668701135,1.365645308
Jeff Hendrick,3,45,52,1418,2,1,24,3,211.4,99,95,1746,Jeff Hendrick,1436,1.107993796,1.433230097,10,6,1,1.107993796,3.605641603,1.386696429
Jeffrey Schlupp,3,53,65,1415,2,3,26,5,336.6,242.1,304,757,Jeffrey Schlupp,1424,2.015115544,2.572582504,18,18,3,2.015115544,5.158029245,3.466956737
Jesse Lingard,3,66,106,1423,9,5,19,4,487,288.2,530,558,Jesse Lingard,1434,5.249168519,2.329288414,42,18,3,3.726830892,10.09570865,5.690425143
Joachim Andersen,2,45,93,2729,1,1,36,9,582.8,109.3,151,6314,Joachim Andersen,2732,1.356786225,0.451680342,13,8,7,1.356786225,6.673858029,6.547641625
Joe Bryan,2,45,27,663,1,1,17,0,143.2,100.4,85,6834,Joe Bryan,658,0.581356587,0.272694402,8,5,2,0.581356587,1.899184555,1.300659828
Joe Rodon,2,49,27,732,0,0,12,2,166.2,3.6,6,6377,Joe Rodon,730,0.018329373,0,1,0,0,0.018329373,1.419659533,1.419659533
Joel Matip,2,54,42,690,1,2,5,3,179,42.4,84,332,Joel Matip,701,0.784475379,1.18027547,5,3,2,0.784475379,4.383128449,4.383128449
Joel Ward,2,43,66,2255,0,1,43,7,366.8,118.2,28,510,Joel Ward,2252,0.051711374,0.473003346,2,7,5,0.051711374,3.116230333,2.889398186
Joelinton Cássio Apolinário de Lira,4,57,74,1979,4,2,36,3,357,250.1,612,87,Joelinton,2006,5.631002204,2.366481453,43,17,3,4.869833367,9.268310605,3.284957649
Johann Berg Gudmundsson,3,54,50,1358,2,0,24,3,193.6,160.8,170,1663,Johann Berg Gudmundsson,1369,1.533570087,0.959504344,19,10,2,1.533570087,3.613885269,1.325504447
John Egan,2,47,57,2628,0,1,48,4,544.6,50.9,150,7703,John Egan,2628,0.491248181,0.618604958,14,3,7,0.491248181,4.387040738,3.745028133
John Fleck,3,56,70,2573,0,3,47,5,351,530.8,154,7709,John Fleck,2576,0.503157536,2.391701452,17,33,4,0.503157536,6.435383677,4.761176446
John Lundstram,3,48,48,2027,0,2,41,3,245.4,346.9,206,7708,John Lundstram,2034,1.875773877,1.459902443,20,20,8,1.114605039,7.169211086,5.258822596
John McGinn,3,55,114,3330,3,7,46,14,579,600.5,361,7723,John McGinn,3330,2.166595253,3.50175766,45,42,12,2.166595253,14.86826731,9.945619265
John Stones,2,51,128,1933,4,0,12,14,520,79.8,192,586,John Stones,1933,2.501298673,0.046839521,15,2,0,2.501298673,10.38817966,10.28851056
Jonathan Castro Otto,2,54,16,496,0,0,4,1,61,31.8,14,2280,Jonny,505,0.051704653,0.050900813,1,2,0,0.051704653,0.333493878,0.230888422
Jonjo Shelvey,3,53,74,2616,1,3,46,6,474.2,522.1,299,769,Jonjo Shelvey,2617,2.452838399,2.625524726,42,37,7,2.452838399,9.463527981,7.525889337
Jonny Evans,2,56,109,2473,2,2,31,10,532.4,129,115,807,Jonny Evans,2483,1.855712767,0.53863108,8,10,7,1.855712767,8.73060951,7.942966703
Jordan Ayew,4,56,70,2086,1,4,42,6,278.6,238.6,451,672,Jordan Ayew,2097,2.581982689,0.822346156,26,13,4,2.581982689,5.268271958,2.650574216
Jordan Henderson,3,54,56,1704,1,2,23,4,358,262.3,108,605,Jordan Henderson,1710,1.135797573,1.483708568,14,14,0,1.135797573,11.4943608,10.46134793
Jordan Pickford,1,48,114,2742,0,0,39,10,698.4,10.1,0,741,Jordan Pickford,2742,0,0.021773621,0,1,1,0,3.714159657,3.692386036
Jorge Luiz Frello Filho,3,47,114,2006,7,2,17,14,588.8,383.5,175,1389,Jorginho,2022,6.972690678,1.954869382,14,24,2,0.122245329,11.38373048,10.87897537
Joseph Gomez,2,52,10,589,0,0,14,0,106.8,18.1,0,987,Joseph Gomez,594,0,0.06542927,0,1,0,0,2.085420132,2.019990861
Joseph Willock,3,49,79,1210,8,0,18,4,436.6,137.2,401,6630,Joe Willock,1215,5.088089783,0.73370116,23,10,1,4.326921005,7.007069375,2.987727125
Josh Brownhill,3,49,74,2812,0,1,42,10,350.4,309.1,384,8323,Josh Brownhill,2818,1.518221689,0.882493967,34,19,2,1.518221689,5.996074032,4.790278086
Josh Maja,4,50,40,804,3,0,9,5,138,103.2,314,5587,Josh Maja,809,4.918053389,0.742830269,21,7,0,4.156884551,4.449021198,0.645543974
Josh Onomah,3,46,13,369,0,0,12,0,33.6,28.7,47,661,Josh Onomah,368,0.556196074,0.032975927,6,1,1,0.556196074,1.366465809,0.878203714
João Filipe Iria Santos Moutinho,3,51,73,2526,1,1,40,6,478.4,726.9,113,2379,João Cancelo,2309,1.865636025,5.177640126,35,45,5,1.865636025,18.10572618,14.48054548
João Pedro Cavaco Cancelo,2,58,138,2298,2,4,21,14,569.8,673,394,3422,João Moutinho,2546,0.502775416,1.67684014,14,46,3,0.502775416,7.028498139,6.230230144
Joël Veltman,2,43,96,2280,1,1,27,9,484.4,366,169,8780,Joël Veltman,2281,1.275617773,1.846218819,14,22,3,1.275617773,9.022530617,6.800674582
Juan Mata,3,58,32,507,1,3,6,1,108.4,132.8,86,554,Juan Mata,518,1.072702911,0.722595327,5,8,0,0.311534073,3.036919411,2.187311428
Kai Havertz,3,83,91,1512,4,6,15,8,325,307.7,514,5220,Kai Havertz,1523,6.352183713,1.553381915,33,18,2,6.352183713,10.38294363,4.81191125
Kalvin Phillips,3,49,67,2428,1,2,34,9,535.4,539.3,82,8719,Kalvin Phillips,2435,0.388622756,3.233058132,15,35,10,0.388622756,8.959227515,7.550635194
Karl Darlow,1,49,80,2250,0,0,43,4,682.4,0,0,780,Karl Darlow,2250,0,0,0,0,2,0,0.997432383,0.997432383
Karlan Grant,4,56,41,1120,1,0,26,3,93,63.8,259,7390,Karlan Grant,1140,1.694240522,0.149186473,16,2,1,1.694240522,1.810006551,0.505270667
Kasper Schmeichel,1,54,128,3420,0,0,50,11,769,0,0,745,Kasper Schmeichel,3420,0,0,0,0,0,0,3.868817838,3.868817838
Kean Bryan,2,39,29,1003,1,0,17,2,220.4,57.5,49,9163,Kean Bryan,1012,0.535491642,0.819474388,3,4,1,0.535491642,1.428371269,1.385759648
Kelechi Iheanacho,4,62,110,1452,12,2,23,5,540.2,413.9,814,620,Kelechi Iheanacho,1452,9.048596148,3.534099193,59,28,1,8.287427311,13.96156364,3.429915309
Kenny Tete,2,43,50,1477,0,1,27,5,330.8,312.4,98,5973,Kenny Tete,1483,0.211126352,0.906548452,7,19,3,0.211126352,3.743920777,2.755570685
Kepa Arrizabalaga,1,47,26,585,0,0,8,2,113.6,0,0,5061,Kepa,582,0,0,0,0,1,0,0.305024398,0.305024398
Kevin De Bruyne,3,118,141,1995,6,12,17,12,760.8,1170.1,914,447,Kevin De Bruyne,2008,9.983439133,10.9582067,81,79,1,7.699932523,22.516893,11.29713327
Kevin Long,2,43,14,636,0,0,13,1,102.6,12,25,1747,Kevin Long,635,0.610003367,0.017368045,2,1,2,0.610003367,0.502235908,0.502235908
Ki-Jana Hoever,2,44,13,573,0,0,11,0,100.4,59.7,26,8351,Ki-Jana Hoever,568,0.057456035,0.184252966,1,3,1,0.057456035,1.222544033,1.02093799
Kieran Gibbs,2,43,5,810,0,0,25,0,132,65.1,10,545,Kieran Gibbs,808,0.06194194,0.40620596,1,4,0,0.06194194,0.89347491,0.812916704
Kieran Tierney,2,52,96,2299,1,4,27,8,446.4,490.1,201,8089,Kieran Tierney,2305,0.386676631,3.823889255,15,31,4,0.386676631,8.635928905,5.60839116
Kortney Hause,2,44,32,630,1,0,6,3,147,2.2,57,6859,Kortney Hause,630,1.303752761,0,5,0,2,1.303752761,1.804376021,1.804376021
Kurt Zouma,2,53,108,2027,5,0,25,9,577.8,72.6,339,935,Kurt Zouma,2024,3.136853445,0.081466971,27,4,3,3.136853445,6.216146336,6.133133308
Kyle Bartley,2,44,79,2583,3,1,53,5,675.4,82.3,252,964,Kyle Bartley,2581,2.601400323,0.759965025,14,7,4,2.601400323,2.48464941,1.499340111
Kyle Walker,2,61,91,1944,1,1,20,9,332.2,200.9,88,638,Kyle Walker,1944,0.204404906,0.499786234,10,8,1,0.204404906,10.60421786,10.20644642
Kyle Walker-Peters,2,47,93,2646,0,3,41,9,497.6,262.2,316,885,Kyle Walker-Peters,2655,1.135079527,1.25375118,18,16,4,1.135079527,8.663987298,6.625143992
Leander Dendoncker,3,46,77,2498,1,2,33,11,386.4,261.4,343,7236,Leander Dendoncker,2500,3.38159868,0.581333028,31,17,4,3.38159868,8.177480115,5.363243671
Leandro Trossard,3,55,132,2602,5,6,30,12,543.4,725.1,759,7698,Leandro Trossard,2647,5.412756389,5.398416234,58,51,2,5.412756389,15.99893452,7.631562136
Lewis Dunk,2,48,130,2932,5,0,40,11,720.4,136.7,443,6048,Lewis Dunk,2934,2.709076251,0.830638369,32,10,5,2.709076251,8.376229838,7.971441999
Liam Cooper,2,43,59,2186,1,0,41,6,620.4,17.7,259,8816,Liam Cooper,2189,2.094512293,0,15,0,4,2.094512293,7.379916446,7.379916446
Lucas Digne,2,62,120,2681,0,9,42,9,592.6,704.2,136,1823,Lucas Digne,2683,0.464043115,5.960716728,13,45,2,0.464043115,10.7443293,6.589036062
Lucas Rodrigues Moura da Silva,3,64,80,1397,3,5,18,4,322.4,258.4,298,3293,Lucas Moura,1392,1.946632659,2.064035285,18,16,1,1.946632659,7.514037959,5.200064562
Luka Milivojevic,3,56,63,2357,1,1,47,7,410.8,329.6,143,5549,Luka Milivojevic,2374,2.213461101,1.773464305,19,21,8,0.691123403,6.367301894,5.705257058
Lukasz Fabianski,1,50,133,3150,0,0,44,10,745.2,0,0,706,Lukasz Fabianski,3150,0,0,0,0,2,0,1.276374356,1.276374356
Luke Ayling,2,44,100,3399,0,0,54,12,843.2,421.4,350,8716,Luke Ayling,3400,1.439750447,2.988854175,24,26,7,1.439750447,14.19626155,11.88436425
Luke Shaw,2,55,124,2653,1,5,33,10,596,1085.9,243,1006,Luke Shaw,2659,0.693125116,6.471944945,11,72,8,0.693125116,12.84404625,10.09623195
Luke Thomas,2,41,26,968,1,0,18,1,169,111.7,101,8562,Luke Thomas,982,0.27020211,0.94765133,7,7,2,0.27020211,2.152353965,1.729160259
Mahmoud Ahmed Ibrahim Hassan,3,52,56,1157,2,1,14,6,213.6,180.1,478,7722,Trézéguet,1175,3.979035469,2.147567751,35,13,0,3.979035469,7.02720906,1.903932778
Manuel Lanzini,3,64,28,556,1,1,5,1,121.4,153,102,535,Manuel Lanzini,548,0.971056749,1.001792194,12,11,1,0.971056749,3.232661293,1.579504919
Marc Albrighton,3,52,78,1735,1,7,22,4,412.6,544.2,282,753,Marc Albrighton,1731,1.246730871,4.036376454,21,38,2,1.246730871,8.017677169,5.142710544
Marcos Alonso,2,56,57,958,2,1,13,5,224.2,204.1,328,1621,Marcos Alonso,962,1.824078284,1.721699378,22,15,2,1.824078284,4.643395733,2.536423624
Marcus Rashford,3,96,174,2917,11,11,39,12,793.2,682.1,1127,556,Marcus Rashford,2941,9.579709992,4.185122116,79,44,4,9.579709992,20.44191016,8.927207557
Mario Lemina,3,45,55,1696,1,1,27,3,294,169.5,134,1299,Mario Lemina,1706,1.243657766,1.126126805,19,12,5,1.243657766,4.953155102,3.294958666
Mark Noble,3,45,27,701,0,0,15,0,80.4,88.6,7,533,Mark Noble,702,0.05267939,0.176331495,1,5,1,0.05267939,0.776315205,0.723635808
Martin Dubravka,1,48,48,1170,0,0,19,3,346.8,0,0,6532,Martin Dubravka,1170,0,0,0,0,0,0,2.120249611,2.120249611
Martin Ødegaard,3,56,40,861,1,2,12,3,169.8,322.8,167,2517,Martin Odegaard,865,0.618739773,1.955885354,15,19,0,0.618739773,5.297232278,4.070700854
Marvelous Nakamba,3,43,27,747,0,1,6,4,110.8,32.5,10,8040,Marvelous Nakamba,757,0.033083528,0.059333989,2,2,3,0.033083528,0.893009854,0.811434226
Mason Greenwood,3,73,106,1813,7,2,23,7,370.8,278.7,881,7490,Mason Greenwood,1825,6.975748036,2.42789981,67,14,2,6.975748036,14.03183276,5.954058945
Mason Holgate,2,48,80,2286,1,0,32,9,432.2,126,80,985,Mason Holgate,2298,1.298189087,0.571194166,5,8,9,1.298189087,3.790853148,3.348965913
Mason Mount,3,73,147,2887,6,7,32,14,770.4,1336.9,954,7768,Mason Mount,2891,6.884880336,9.847691355,82,87,2,6.12371151,21.69607448,12.44314904
Matej Vydra,4,48,62,1359,3,2,24,3,197.4,194,491,1017,Matej Vydra,1363,5.373272832,2.118340734,35,14,0,5.373272832,6.425857455,1.04720401
Mateo Kovacic,3,53,54,1809,0,1,26,9,332.4,384.8,153,2254,Mateo Kovacic,1833,0.931417286,1.915258423,23,21,4,0.931417286,14.8087242,13.03579165
Mateusz Klich,3,52,99,2386,4,5,44,8,464.6,661.4,333,4381,Mateusz Klich,2404,2.99995879,3.650850466,36,44,6,1.477621123,14.60811685,10.386438
Matheus Pereira,3,54,153,2574,11,7,58,6,744,873.6,661,7153,Matheus Pereira,2594,6.948316539,6.3555393,65,58,2,3.903641086,10.85705416,3.757923773
Mathew Ryan,1,41,37,1260,0,0,21,3,193.6,10.7,2,2385,Mat Ryan,1260,0,0.060327269,0,1,1,0,1.656184364,1.656184364
Matt Doherty,2,56,47,1238,0,2,15,4,257.2,182.4,79,6852,Matt Doherty,1228,0.363882434,0.764676038,3,11,2,0.363882434,4.36995511,3.785172173
Matt Phillips,3,51,69,1815,2,1,42,3,290,388.2,319,1737,Matt Phillips,1823,2.923516908,3.245671345,22,25,1,2.923516908,7.040551716,2.613230765
Matt Ritchie,3,49,52,1347,0,5,22,3,225.8,411.9,101,461,Matt Ritchie,1360,0.330100663,2.492345709,11,24,2,0.330100663,5.130529761,4.38347964
Matt Targett,2,50,138,3404,0,4,44,16,690.4,607,122,884,Matt Targett,3407,0.280304476,2.799669212,6,39,7,0.280304476,9.610858653,8.203313463
Matthew Cash,2,50,89,2373,0,2,35,11,520.8,352.9,110,8864,Matthew Cash,2389,0.247891438,1.905662615,9,21,6,0.247891438,6.591602574,5.03345951
Matthew Longstaff,3,48,10,376,0,0,8,1,32.6,35.6,2,8016,Matthew Longstaff,376,0,0.313707896,0,2,0,0,0.422484107,0.108776219
Matthew Lowton,2,44,103,3060,1,1,47,10,551.2,380.8,125,1652,Matthew Lowton,3060,0.759485325,2.77225545,21,26,5,0.759485325,6.36665877,3.579442636
Max Kilman,2,38,58,1307,0,1,11,5,249.6,67.4,78,7332,Max Kilman,1291,0.308016365,0.31305787,6,5,4,0.308016365,2.029524304,1.835227825
Max Lowe,2,42,9,549,0,0,10,0,99.2,39.8,45,8918,Max Lowe,554,0.086758116,0.187498435,2,2,1,0.086758116,1.30474665,1.030490108
Mbaye Diagne,4,60,57,1188,3,5,17,4,180,130.8,346,9290,Mbaye Diagne,1205,6.247825153,0.986100741,25,10,2,6.247825153,8.729950741,1.773010155
Michael Keane,2,50,127,2989,3,1,43,11,814,87.8,243,1653,Michael Keane,2986,1.504691659,1.085252827,16,7,4,1.504691659,6.951784315,6.675621526
Michail Antonio,4,67,118,1972,10,5,25,6,517.8,349.1,1038,531,Michail Antonio,1993,14.13883854,3.194422813,63,27,3,14.13883854,19.27382588,2.770520601
Michy Batshuayi,4,57,41,717,2,2,15,2,132.8,113.5,210,1678,Michy Batshuayi,706,1.363145164,1.654721253,12,9,0,1.363145164,3.708006874,1.475732068
Miguel Almirón,3,56,97,2426,4,2,48,5,452.6,447.3,425,7420,Miguel Almirón,2458,3.509381879,3.135925354,33,31,3,3.509381879,9.295024225,3.89906712
Mohamed Naser El Sayed Elneny,3,42,50,1538,1,0,20,5,200.2,99.9,79,496,Mohamed Elneny,1540,0.475615798,0.256941723,9,4,3,0.475615798,5.195760984,4.65116825
Mohamed Salah,3,129,231,3077,22,6,41,11,1056,825.7,1980,1250,Mohamed Salah,3085,20.25084664,6.528526101,126,55,0,15.68383364,28.96823355,9.800235655
Mohammed Salisu,2,43,14,841,0,0,19,0,188.2,29.9,34,6923,Mohammed Salisu,836,0.478431653,0.172157373,4,2,1,0.478431653,2.204292323,2.15407224
Morgan Gibbs-White,3,49,22,407,1,0,6,0,85,112.8,114,6857,Morgan Gibbs-White,395,0.814298891,0.406943791,10,8,1,0.814298891,1.716807799,0.831462257
Moussa Djenepo,3,54,46,1229,1,2,27,3,178,97.7,170,7701,Moussa Djenepo,1236,0.792782022,0.401872564,14,6,5,0.792782022,2.988376856,1.913124703
Moussa Sissoko,3,47,44,1576,0,0,22,5,182.2,94.5,69,772,Moussa Sissoko,1563,0.24807331,0.184409471,3,4,3,0.24807331,4.136225495,3.926961499
N'Golo Kanté,3,49,62,2140,0,2,24,10,449,347.3,96,751,N&#039;Golo Kanté,2142,0.700462453,1.206712645,10,22,7,0.700462453,10.10266601,8.441409685
Naby Keita,3,52,15,517,0,0,8,2,70.6,100.5,119,5247,Naby Keita,525,0.393258881,0.912950993,9,6,1,0.393258881,3.590221044,2.329714198
Nampalys Mendy,3,42,41,1452,0,1,25,4,153,118.7,23,1785,Nampalys Mendy,1463,0.077613549,0.183155239,4,5,5,0.077613549,3.487958556,3.324419837
Nathan Aké,2,54,29,797,1,0,13,3,156,46.9,44,579,Nathan Aké,802,0.505318072,0.017229334,3,1,4,0.505318072,4.211258717,4.194029383
Nathan Redmond,3,64,67,1727,2,3,39,1,297,400.4,477,790,Nathan Redmond,1718,3.833790461,3.353082243,45,29,1,3.833790461,8.997613229,3.267556451
Nathan Tella,3,43,36,735,1,2,11,2,94.6,86,203,8456,Nathan Tella,734,1.988237485,1.090901062,17,6,2,1.988237485,2.907418869,0.48396934
Nathaniel Clyne,2,45,28,1145,0,1,22,2,150.8,84.3,34,603,Nathaniel Clyne,1151,0.122933941,0.222484924,4,4,2,0.122933941,1.896963889,1.731162582
Nathaniel Phillips,2,42,68,1455,1,1,11,7,376.4,90.6,132,8228,Nathaniel Phillips,1451,1.027708869,0.916556781,15,7,2,1.027708869,4.325661117,4.156065339
Neal Maupay,4,58,105,2508,8,2,34,10,442.2,443.2,1103,3621,Neal Maupay,2526,13.77353451,4.277407881,71,32,1,10.72893275,17.15753916,3.381784765
Nemanja Matic,3,47,36,1101,0,1,18,4,218.4,149,80,697,Nemanja Matic,1099,0.164785827,0.893835069,6,8,2,0.164785827,6.133360542,5.510585548
Nick Pope,1,55,144,2880,0,0,37,11,846.6,20,2,5552,Nick Pope,2880,0,0.086050488,0,2,1,0,1.177935131,1.091884643
Nicolas Pépé,3,77,114,1606,10,3,21,4,476.2,235.9,774,5656,Nicolas Pepe,1602,6.000206442,1.012160038,47,11,1,5.239037622,9.35974014,4.217725778
Nélson Cabral Semedo,2,51,109,2983,1,3,45,9,595.2,412.9,297,6163,Nélson Semedo,2994,1.309736812,0.902799194,23,20,5,1.309736812,7.686349013,6.196272313
Okay Yokuslu,3,45,34,1316,0,1,20,4,200,88.6,91,6932,Okay Yokuslu,1328,0.719497154,0.442520587,12,6,4,0.719497154,2.787972804,2.361194517
Ola Aina,2,43,102,2664,2,1,36,8,483.6,248.8,144,725,Ola Aina,2683,0.847976466,1.552727966,14,15,3,0.847976466,6.773145352,6.120467253
Oleksandr Zinchenko,2,55,69,1473,0,0,14,8,272,295.7,134,2958,Oleksandr Zinchenko,1473,0.660659281,1.085499099,16,15,0,0.660659281,9.49437603,8.718509812
Oliver Burke,3,41,46,1260,1,2,21,1,113.8,191.8,364,5256,Oliver Burke,1272,2.603761297,2.620451843,25,15,2,2.603761297,6.119541306,1.053120244
Oliver McBurnie,4,56,44,1316,1,2,27,0,182.6,207.8,444,1736,Oliver McBurnie,1306,3.552993312,1.054265581,30,15,2,3.552993312,6.107230762,2.601921773
Oliver Norwood,3,45,54,2214,0,0,43,5,415.8,516,57,7710,Oliver Norwood,2239,0.430055531,1.266291894,11,32,6,0.430055531,5.095911328,4.4036522
Olivier Giroud,4,67,47,740,4,0,5,4,161.4,112,403,502,Olivier Giroud,750,5.070415806,1.175799128,29,6,1,5.070415806,5.245491371,1.711337222
Ollie Watkins,4,63,168,3328,14,9,46,14,815.4,610.4,1721,8865,Ollie Watkins,3330,16.28017765,5.314029492,98,45,2,14.75784001,22.01402079,5.334991174
Oluwasemilogo Adesewo Ibidapo Ajayi,2,48,51,2779,2,1,71,1,574.8,88.3,202,4490,Semi Ajayi,2773,1.733795512,0.510466268,13,7,3,1.733795512,4.629276711,3.112332497
Oriol Romeu Vidal,3,45,52,1762,1,1,25,6,349.2,229.1,98,842,Oriol Romeu,1777,0.445827158,1.536806639,14,14,6,0.445827158,6.238045163,5.06345807
Ozan Kabak,2,50,26,801,0,0,9,3,131,17.2,19,7376,Ozan Kabak,807,0.086028166,0.029386912,1,1,3,0.086028166,1.863911737,1.863911737
Pablo Fornals,3,58,125,2571,5,7,33,9,491.8,441.3,631,2335,Pablo Fornals,2603,6.749410303,2.532995486,50,31,3,6.749410303,16.32004125,8.427109042
Pablo Hernández Domínguez,3,57,28,414,0,3,6,1,84,97.9,153,2164,Pablo Hernández,403,1.420189608,0.860272363,15,6,1,1.420189608,4.210413835,2.021953027
Pablo Marí,2,44,34,900,0,0,8,4,163.2,26.4,16,8380,Pablo Marí,900,0.040522743,0.054243948,2,1,2,0.040522743,3.604974583,3.590738073
Pascal Groß,3,58,116,2479,3,8,28,10,620.4,1087.8,415,239,Pascal Groß,2469,5.01052577,5.368290125,32,69,3,1.965887193,10.40441941,6.732295144
Pascal Struijk,2,40,71,2072,1,0,32,7,513,66.3,222,8717,Pascal Struijk,2073,2.028674905,0.108047519,13,4,3,2.028674905,6.597725658,6.550252264
