full_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,now_cost,id,player_name,time,xG,xA,shots,key_passes,yellow_cards,npxG,xGChain,xGBuildup
Fabi�n Balbuena,1,0,40,1176,24,18.5,268,149,43.6,3,43,6892,Fabián Balbuena,1174,1.338660404,0.461692691,10,1,2,1.338660404,1.545749985,1.545749985
Fabio Henrique Tavares,2,3,77,2073,26,322.4,431.6,85,84,6,54,3420,Fabinho,2063,0.308101526,1.675140117,12,19,6,0.308101526,11.5025769,10.2851079
Federico Fern�ndez,2,3,102,2617,42,74.5,741,223,103.7,8,46,708,Federico Fernández,2610,1.781357942,1.465211019,15,4,8,1.781357942,4.351393968,3.797487251
Felipe Anderson Pereira Gomes,1,4,66,1493,27,414.7,377.2,355,114.8,7,66,1208,Felipe Anderson,1531,2.634846702,2.64747778,23,25,1,2.634846702,8.100950414,3.814729502
Fernando Luiz Rosa,0,1,55,2394,27,146.2,557.6,175,87.9,10,51,614,Fernandinho,2401,0.761759222,0.447912704,16,8,7,0.761759222,16.46185849,16.19297589
Fikayo Tomori,1,0,48,1291,18,68.6,335.4,79,48.5,4,42,703,Fikayo Tomori,1299,0.562975382,0.119876601,7,4,3,0.562975382,5.061155995,4.995166844
Florian Lejeune,2,0,24,440,10,12.6,132,81,22.5,1,43,5073,Florian Lejeune,442,0.381147097,0.051249225,4,1,0,0.381147097,0.268942289,0.206484098
Frederico Rodrigues de Paula Santos,0,0,50,2157,26,542.7,430.6,260,123.5,6,51,6817,Fred,2147,1.591740058,2.314132543,40,35,8,1.591740058,12.0332467,9.726845287
Francisco Femen�a Far,0,1,54,2236,46,320.9,363.2,58,74.4,5,42,5043,Kiko Femenía,2253,0.12204704,1.201011118,5,18,5,0.12204704,3.485389378,2.782934683
Fr�d�ric Guilbert,0,2,62,2038,36,241.5,451.2,77,77.2,6,43,3253,Frederic Guilbert,2045,0.417596782,1.389764119,8,13,6,0.417596782,4.420983244,3.741674721
Gabriel Fernando de Jesus,14,8,146,2018,14,447.7,757.6,1620,282.1,12,99,5543,Gabriel Jesus,2022,21.0152013,3.598858256,101,32,3,20.25403243,27.65223386,7.181309737
Gabriel Teodoro Martinelli Silva,3,1,39,656,9,36.6,162.8,226,42.5,2,42,7752,Gabriel Martinelli,643,2.242483456,0.113541884,12,2,1,2.242483456,2.99593303,0.639907656
Gary Cahill,0,1,70,2167,35,40,448.4,342,83.4,7,43,699,Gary Cahill,2167,1.610497998,0.431655612,21,3,1,1.610497998,1.811500825,1.751877161
George Baldock,2,4,142,3420,39,485.7,559.8,241,128.6,13,50,7706,George Baldock,3420,0.763005788,1.62530896,13,22,7,0.763005788,8.718191016,7.147828612
Georginio Wijnaldum,4,0,107,2933,28,344.1,452.8,423,122,12,54,771,Georginio Wijnaldum,2980,2.651081571,0.808545718,36,18,0,2.651081571,13.4786532,10.85671391
Gerard Deulofeu,4,5,88,2097,33,602.3,458.4,896,195.4,8,61,591,Gerard Deulofeu,2137,6.213232521,4.786341347,63,43,4,5.452063657,11.51365806,3.673295915
Giovani Lo Celso,0,3,54,1482,18,459.4,303.2,176,93.9,6,73,5681,Giovani Lo Celso,1477,1.379527796,1.707291834,18,29,6,1.379527796,7.932056021,5.939790461
Glenn Murray,1,1,36,785,10,57.1,74,249,37.7,2,54,882,Glenn Murray,761,2.606120537,0.867527336,18,3,0,2.606120537,3.274798197,0.603656955
Granit Xhaka,1,2,73,2586,31,298.5,486.2,110,89.9,10,51,204,Granit Xhaka,2598,0.57122991,0.972196633,11,16,10,0.57122991,12.97385988,12.26305776
Grant Hanley,0,0,23,1261,25,3.6,318.8,76,40,2,40,7690,Grant Hanley,1261,0.439899426,0,8,0,4,0.439899426,1.799297087,1.799297087
