,Unnamed: 0,full_name,code,team,element_type,now_cost,total_points,points_per_game,minutes,goals_scored,assists,goals_conceded,clean_sheets,influence,creativity,threat,Unnamed: 16,id,player_name,time,xG,xA,shots,key_passes,yellow_cards,npxG,xGChain,xGBuildup,xP
22,110,Ben Mee,51927,4,2,45,14,7,148,1,0,2,1,47,1.7,35,23,1654,Ben Mee,150,0.561302781,0,1,0,0,0.561302781,0.049258433,0.049258433,13.3125
24,8,Benjamin White,198869,1,2,45,6,3,164,0,0,2,1,41.2,15.3,0,223,7298,Ben White,169,0,0.078886889,0,1,1,0,0.634750806,0.555863917,13.3125
33,145,CÃ©sar Azpilicueta,41328,6,2,50,8,4,107,0,0,1,1,21.6,26.2,2,79,681,CÃ©sar Azpilicueta,104,0,0.25220713,0,2,0,0,1.030901819,1.030901819,13.3125
37,72,Chris Mepham,223911,3,2,45,6,3,180,0,0,4,1,47.8,0.2,0,228,7384,Chris Mepham,180,0,0,0,0,1,0,0.026748877,0.026748877,13.3125
40,225,Conor Coady,94147,8,2,49,2,2,80,0,0,1,0,16.6,0.5,0,203,6851,Conor Coady,84,0,0,0,0,0,0,0.044412207,0.044412207,13.3125
41,519,Cristian Romero,221632,18,2,50,3,1.5,180,0,0,3,0,42.8,3.1,13,217,7218,Cristian Romero,180,0.125088021,0,2,0,0,0.125088021,1.132382005,1.132382005,13.3125
44,269,Daniel Amartey,155569,10,2,45,2,1,152,0,0,5,0,24.4,14.6,1,87,759,Daniel Amartey,157,0.011097821,0.016957469,1,1,0,0.011097821,0.19055137,0.162496075,13.3125
57,48,Diego Carlos Santos Silva,165659,2,2,49,3,1.5,180,0,0,3,0,23,2.8,32,166,5712,Diego Carlos,180,0.739179986,0,4,0,0,0.739179986,0.238073906,0.220520142,13.3125
58,296,Diego Llorente,149915,11,2,45,3,1.5,180,0,0,3,0,35.4,0.8,3,125,2163,Diego Llorente,180,0.037254728,0,1,0,0,0.037254728,0.472564816,0.472564816,13.3125
59,396,Diogo Dalot Teixeira,216051,14,2,44,1,0.5,180,0,0,6,0,34,59.2,79,222,7281,Diogo Dalot,180,0.525678895,0.130483683,3,4,0,0.525678895,0.613133103,0.384662285,13.3125
65,521,Emerson Leite de Souza Junior,241157,18,2,50,10,5,167,0,2,3,0,46.4,24.6,26,230,7430,Emerson,174,0.166745752,0.214627668,3,2,0,0.166745752,1.490045547,1.108672142,13.3125
69,506,Eric Dier,93264,18,2,50,9,4.5,180,1,0,3,0,66,0.4,37,14,643,Eric Dier,180,0.043801486,0,2,0,0,0.043801486,0.522657648,0.522657648,13.3125
71,43,Ezri Konsa Ngoyo,199798,2,2,45,2,1,91,0,0,2,0,20.8,1.3,0,242,7726,Ezri Konsa Ngoyo,91,0,0,0,0,0,0,0.060199212,0.060199212,13.3125
75,14,Gabriel dos Santos MagalhÃ£es,226597,1,2,50,8,4,180,0,0,2,1,37.4,2.4,8,163,5613,Gabriel,180,0.057153091,0,1,0,0,0.057153091,0.199537989,0.199537989,13.3125
84,384,Harry Maguire,95658,14,2,49,-1,-0.5,180,0,0,6,0,42.2,15.5,34,115,1687,Harry Maguire,180,0.079166196,0.018320184,1,1,2,0.079166196,0.511027459,0.511027459,13.3125
85,465,Harry Toffolo,114241,16,2,45,8,4,180,0,0,2,1,29.2,28.5,0,323,10758,Harry Toffolo,180,0,0.176775455,0,2,0,0,0.381545261,0.331991196,13.3125
91,524,Ivan PeriÅ¡iÄ‡,45034,18,2,54,5,2.5,35,0,1,0,0,27.4,36.3,6,45,448,Ivan Perisic,30,0,0.545099497,0,2,0,0,0.273117065,0.273117065,13.3125
96,66,Jack Stacey,154131,3,2,44,-1,-1,90,0,0,4,0,6.6,4.6,0,245,7823,Jack Stacey,90,0,0,0,0,1,0,0.026748877,0.026748877,13.3125
97,478,Jack Stephens,88900,17,2,45,1,0.5,46,0,0,2,0,14.2,2.5,0,119,1735,Jack Stephens,43,0,0,0,0,0,0,0.04521222,0.04521222,13.3125
100,280,James Justin,220627,10,2,45,4,2,180,0,1,6,0,23,18.2,2,243,7753,James Justin,180,0,0.038089555,0,1,0,0,0.162216105,0.124126554,13.3125
103,224,James Tarkowski,17761,8,2,45,3,1.5,180,0,0,3,0,48.6,34.5,58,112,1665,James Tarkowski,180,0.130749129,0.287068054,3,3,0,0.130749129,0.220582664,0.220582664,13.3125
106,484,Jan Bednarek,171771,17,2,45,1,0.5,159,0,0,6,0,38.4,21.1,8,175,6042,Jan Bednarek,164,0.054240495,0.09831202,1,2,0,0.054240495,0.04521222,0.04521222,13.3125
114,121,JoÃ«l Veltman,111478,5,2,45,10,5,180,0,0,1,1,45.6,2.1,18,268,8780,JoÃ«l Veltman,180,0.054591209,0,1,0,0,0.054591209,0.067683741,0.067683741,13.3125
115,186,Joachim Andersen,174874,7,2,45,2,1,180,0,0,3,0,78,12.2,13,188,6314,Joachim Andersen,180,0.452222377,0.393576205,1,1,1,0.452222377,0.917779118,0.917779118,13.3125
118,450,Joe Worrall,208912,16,2,45,7,3.5,180,0,0,2,1,35.4,1.1,0,321,10756,Joe Worrall,180,0,0,0,0,1,0,0.202201299,0.202201299,13.3125
119,323,Joel Matip,60914,12,2,60,1,1,90,0,0,2,0,30.4,1.8,0,44,332,Joel Matip,90,0,0,0,0,0,0,0.133549348,0.133549348,13.3125
120,177,Joel Ward,55494,7,2,45,1,1,90,0,0,1,0,29,0.2,0,57,510,Joel Ward,90,0,0,0,0,1,0,0.339396745,0.339396745,13.3125
123,561,Jonathan Castro Otto,114128,20,2,45,7,3.5,167,0,0,2,1,28.8,8.2,23,128,2280,Jonny,170,0.031403754,0,2,0,0,0.031403754,1.143069506,1.128789514,13.3125
124,261,Jonny Evans,37642,10,2,45,1,0.5,180,0,0,6,0,28.4,1.7,0,92,807,Jonny Evans,180,0,0,0,0,0,0,0.20009739,0.20009739,13.3125
128,77,Jordan Zemura,447932,3,2,45,6,6,90,0,0,0,1,21.6,10.7,2,315,10740,Jordan Zemura,90,0,0.086740717,0,1,0,0,0.349021852,0.26228115,13.3125
133,171,Kalidou Koulibaly,86129,6,2,55,13,6.5,164,1,0,2,1,67.4,6.3,39,21,1376,Kalidou Koulibaly,174,0.180631012,0,4,0,0,0.180631012,0.814627133,0.795312904,13.3125
135,248,Kenny Tete,167074,9,2,45,9,4.5,180,0,1,2,1,46.6,15.8,0,171,5973,Kenny Tete,180,0,0.087104157,0,1,1,0,0.101326757,0.0142226,13.3125
140,540,Kurt Zouma,103192,19,2,45,3,1.5,180,0,0,3,0,24.8,0.3,18,102,935,Kurt Zouma,180,0.063774392,0,1,0,0,0.063774392,0.032157723,0.032157723,13.3125
142,483,Kyle Walker-Peters,158534,17,2,45,7,3.5,180,1,0,6,0,68.8,19.6,41,17,885,Kyle Walker-Peters,180,0.30937317,0.089856304,2,1,0,0.30937317,0.492296778,0.093067302,13.3125
147,118,Lewis Dunk,83299,5,2,45,9,4.5,180,0,0,1,1,25.8,0.4,4,177,6048,Lewis Dunk,180,0.023503141,0,1,0,0,0.023503141,0,0,13.3125
149,404,Lisandro MartÃ­nez,221820,14,2,44,-1,-0.5,135,0,0,6,0,36.2,3.7,37,328,10802,Lisandro MartÃ­nez,140,0.077251688,0,3,0,1,0.077251688,0.305541098,0.292039782,13.3125
150,74,Lloyd Kelly,235530,3,2,45,12,6,180,0,1,4,1,66.2,14.3,2,248,8090,Lloyd Kelly,180,0,0.027238073,0,1,0,0,0.026748877,0.026748877,13.3125
151,32,Lucas Digne,101188,2,2,50,0,0,180,0,0,3,0,20,37.9,14,124,1823,Lucas Digne,180,0.032672182,0.088752203,1,1,1,0.032672182,0.312344462,0.223592252,13.3125
154,386,Luke Shaw,106760,14,2,49,-1,-0.5,134,0,0,6,0,24,46.5,19,106,1006,Luke Shaw,140,0.056737062,0.166988969,1,3,1,0.056737062,0.176023327,0.031463496,13.3125
155,96,Mads Roerslev Rasmussen,226956,4,2,45,6,6,90,0,0,0,1,19.4,1.5,0,295,9685,Mads Roerslev,90,0,0,0,0,0,0,0,0,13.3125
